id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
099050aa,2020-11-06,573,1,,,,,,,,,-2,1,1,0,0,1,1,3,2,2,1,-3,0,2,-50.78,-43.52,-45.54,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-07,602,1,,,,,,,,,-2,1,1,0,0,1,1,3,2,2,1,-3,0,2,-50.78,-43.52,-45.54,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-08,633,1,,,,,,,,,-2,1,1,0,0,1,1,3,2,2,1,-3,0,2,-50.78,-43.52,-45.54,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-09,652,1,,,,,,,,,-2,1,1,0,0,1,1,3,2,2,1,-3,0,2,-50.78,-43.52,-45.54,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-10,663,1,,,,,,,,,1,1,1,0,0,1,1,3,2,2,1,-3,0,2,-49.74,-41.67,-44.35,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-11,685,1,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-12,700,1,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-13,738,2,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-14,765,2,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-15,778,2,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-16,796,3,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-17,803,3,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-18,831,3,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-19,878,3,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-20,896,4,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-21,919,4,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-22,921,4,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-23,946,4,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
