invoice,date,storenumber,storename,address,city,zipcode,storelocation,countynumber,county,category,categoryname,vendornumber,vendorname,itemnumber,itemdescription,pack,bottlevolume,statebottlecost,statebottleretail,bottlessold,sale,volumesoldl,volumesoldg
INV-42102400003,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1012200,Scotch Whiskies,370,PERNOD RICARD USA,4718,Chivas Regal 12YR,6,1750,$36.83 ,$55.25 ,6,331.5,10.5,2.77
INV-42102000016,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10809,Crown Royal Regal Apple,6,1750,$32.99 ,$49.49 ,6,296.94,10.5,2.77
INV-42101500036,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1071100,Cocktails /RTD,395,PROXIMO,58835,Jose Cuervo Authentic Lime Margarita,6,800,$4.62 ,$6.93 ,6,41.58,4.8,1.26
INV-42102300011,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64904,Fireball Cinnamon Whiskey PET,6,1750,$15.33 ,$23.00 ,6,138,10.5,2.77
INV-42102000022,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10788,Crown Royal Vanilla Mini,10,50,$7.35 ,$11.03 ,2,22.06,0.1,0.02
INV-42102600018,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1012200,Scotch Whiskies,370,PERNOD RICARD USA,4717,Chivas Regal 12YR,12,1000,$27.48 ,$41.22 ,2,82.44,2,0.52
INV-42102600002,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown,6,1750,$12.96 ,$19.44 ,12,233.28,21,5.54
INV-42102700006,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1041100,American Dry Gins,434,LUXCO INC,31658,Paramount Gin,6,1750,$7.11 ,$10.67 ,1,10.67,1.75,0.46
INV-42102500007,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1091100,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,$13.01 ,$19.52 ,6,117.12,4.5,1.18
INV-42102000007,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,35,BACARDI USA INC,101346,Grey Goose Glass Pack,3,1750,$26.50 ,$39.75 ,3,119.25,5.25,1.38
INV-42101500003,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1031200,American Flavored Vodka,259,Heaven Hill Brands,40152,Deep Eddy Cranberry,12,750,$8.50 ,$12.75 ,12,153,9,2.37
INV-42101500032,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1071100,Cocktails /RTD,260,DIAGEO AMERICAS,58801,Captain Morgan Long Island Iced Tea,6,1750,$11.00 ,$16.50 ,6,99,10.5,2.77
INV-42102600001,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19067,Jim Beam,12,1000,$13.00 ,$19.50 ,12,234,12,3.17
INV-42101500037,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081400,American Schnapps,434,LUXCO INC,81204,Paramount Peppermint Schnapps,24,375,$2.28 ,$3.42 ,24,82.08,9,2.37
INV-42102300004,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,21598,Ten High,6,1750,$9.24 ,$13.86 ,6,72,10.5,2.77
INV-42102000019,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,421,SAZERAC COMPANY  INC,11348,Seagrams VO Canadian Whiskey PET,6,1750,$10.45 ,$15.68 ,6,94.08,10.5,2.77
INV-42102600007,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1011100,Blended Whiskies,65,Jim Beam Brands,27544,Red Stag Black Cherry,12,750,$11.00 ,$16.50 ,3,49.5,2.25,0.59
INV-42102000008,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1062400,Spiced Rum,260,DIAGEO AMERICAS,43316,Captain Morgan Private Stock,12,750,$11.99 ,$17.99 ,12,215.88,9,2.37
INV-42102500003,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1071100,Cocktails /RTD,421,SAZERAC COMPANY  INC,59231,Ice Box Mudslide,6,1750,$6.76 ,$10.14 ,6,40.5,10.5,2.77
INV-42102700004,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1012100,Canadian Whiskies,322,Prestige Wine & Spirits Group / United States Distilled Products Co,15248,Windsor Canadian PET,6,1750,$9.50 ,$14.25 ,2,28.5,3.5,0.92
INV-42101500024,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081400,American Schnapps,65,Jim Beam Brands,82610,Dekuyper Hot Damn!,12,1000,$7.87 ,$11.81 ,12,141.72,12,3.17
INV-42102000002,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,370,PERNOD RICARD USA,100719,Jameson Mini,30,50,$2.31 ,$3.47 ,3,10.41,0.15,0.03
INV-42102000012,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1081300,American Cordials & Liqueur,259,Heaven Hill Brands,73715,Evan Williams Cherry Reserve,12,750,$8.00 ,$12.00 ,12,144,9,2.37
INV-42101500030,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1091100,American Distilled Spirit Specialty,578,S&B Farms Distillery,77052,Hog Wild Cinnamon,6,750,$12.00 ,$18.00 ,6,108,4.5,1.18
INV-42102600020,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26828,Jack Daniels Old #7 Black Label,6,1750,$31.72 ,$47.58 ,2,95.16,3.5,0.92
INV-42101500006,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,35,BACARDI USA INC,16562,Angels Envy Bourbon Port Finished,6,750,$24.50 ,$36.75 ,6,220.5,4.5,1.18
INV-42102500010,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1012100,Canadian Whiskies,322,Prestige Wine & Spirits Group / United States Distilled Products Co,15248,Windsor Canadian PET,6,1750,$9.50 ,$14.25 ,6,85.5,10.5,2.77
